"","country","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines","source_name","source_website","max_full_vac"
"1","Bahrain","BHR",2020-12-23,38965,38965,NA,NA,NA,2.29,2.29,NA,NA,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"2","Bahrain","BHR",2020-12-24,50071,50071,NA,11106,11106,2.94,2.94,NA,6527,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"3","Bahrain","BHR",2020-12-25,50543,50543,NA,472,5789,2.97,2.97,NA,3402,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"4","Bahrain","BHR",2020-12-26,51556,51556,NA,1013,4197,3.03,3.03,NA,2467,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"5","Bahrain","BHR",2020-12-27,53614,53614,NA,2058,3662,3.15,3.15,NA,2152,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"6","Bahrain","BHR",2020-12-28,55014,55014,NA,1400,3210,3.23,3.23,NA,1886,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"7","Bahrain","BHR",2020-12-29,56041,56041,NA,1027,2846,3.29,3.29,NA,1673,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"8","Bahrain","BHR",2020-12-30,57317,57317,NA,1276,2622,3.37,3.37,NA,1541,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"9","Bahrain","BHR",2020-12-31,58643,58643,NA,1326,1225,3.45,3.45,NA,720,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"10","Bahrain","BHR",2021-01-01,59351,59351,NA,708,1258,3.49,3.49,NA,739,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"11","Bahrain","BHR",2021-01-02,60097,60097,NA,746,1220,3.53,3.53,NA,717,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
