"","country","max_full_vac","max_full_vac_num","max_total_vac"
"1","United States",22.15,74066085,189692045
"2","China",-Inf,-Inf,171928000
"3","India",0.98,13490046,108533085
"4","United Kingdom",11.28,7656205,39846781
"5","England",11.26,6338332,33445922
"6","Brazil",2.99,6352371,27432994
"7","Turkey",9.04,7620131,18728978
"8","Germany",6.11,5117056,18684873
"9","Indonesia",1.95,5322501,15602574
"10","France",5.46,3722019,14536712
"11","Russia",3.74,5461499,14269543
"12","Italy",6.6,3989383,13286783
"13","Chile",24.4,4664573,12035524
"14","Mexico",1.72,2223846,11703164
"15","Spain",6.65,3108437,10784997
"16","Israel",57.19,4950254,10279751
"17","United Arab Emirates",22.12,2187849,9037923
"18","Morocco",11.24,4148610,8635238
"19","Canada",2.16,815659,8330898
"20","Poland",5.58,2113615,7784384
"21","Saudi Arabia",-Inf,-Inf,6401456
"22","Bangladesh",0.32,522596,6172159
"23","Argentina",1.61,728915,5390000
"24","Hungary",12.95,1250582,4220229
"25","Romania",7.46,1435730,3762214
"26","Scotland",10.8,590174,3258897
"27","Colombia",1.59,808785,3041349
"28","Serbia",17.14,1166011,2882854
"29","Netherlands",4.71,806424,2863986
"30","Belgium",5.36,621653,2503818
"31","Greece",7.15,745399,2225878
"32","Portugal",6.17,628760,2203333
"33","Austria",7.03,633422,2154019
"34","Czechia",6.93,742653,2148474
"35","Wales",16.75,528199,2116050
"36","Sweden",5.63,568944,1924772
"37","Japan",0.39,490819,1690592
"38","Switzerland",7.42,642362,1690425
"39","Singapore",9.16,535864,1667522
"40","Nepal",-Inf,-Inf,1600000
"41","Cambodia",1.63,271725,1371536
"42","Denmark",7.76,449419,1332794
"43","South Korea",0.12,60557,1255899
"44","Finland",1.72,95246,1229239
"45","Philippines",0.14,149041,1202297
"46","Australia",-Inf,-Inf,1178302
"47","Azerbaijan",4.13,418812,1177087
"48","Slovakia",5.46,298298,1168907
"49","Norway",5.47,296302,1165421
"50","Qatar",-Inf,-Inf,1104726
"51","Dominican Republic",0.94,101528,1101528
"52","Uruguay",5.93,206147,1078620
"53","Ireland",6.36,314216,1063666
"54","Peru",1.22,403628,1052471
"55","Myanmar",0.07,40000,1040000
"56","Northern Ireland",10.54,199500,1025912
"57","Malaysia",1.22,395891,979794
"58","Bahrain",23.81,405090,973982
"59","Nigeria",-Inf,-Inf,964387
"60","Sri Lanka",-Inf,-Inf,925242
"61","Hong Kong",3.74,280522,877873
"62","Pakistan",-Inf,-Inf,8e+05
"63","Ghana",-Inf,-Inf,703752
"64","Lithuania",6.99,190154,682847
"65","Mongolia",-Inf,-Inf,616906
"66","Kuwait",0.89,38000,604861
"67","Croatia",2.72,111544,595369
